title,link,author,journal,website,abstract,referenced
Curie temperature behaviour on annealing of Finemet type amorphous alloys,https://www.sciencedirect.com/science/article/pii/S0022309303005829,"C Miguel, S Kaloshkin, J Gonzalez, A Zhukov",Journal of non,"crystalline …, 2003","… Isothermal heat treatment using various temperatures were made in situ inside calorimeter …
Curie temperature in cyclic isochronous annealing as a function on the annealing temperature…",21
Effect of uniaxial stress on the Curie temperature in Fe2P,https://www.jstage.jst.go.jp/article/jpsj1946/51/5/51_5_1401/_article/-char/ja/,"H Fujiwara, H Kadomatsu, K Tohma","Journal of the Physical Society …, 1982",jstage.jst.go.jp,"… 5 kbar in the pressure-temperature phase diagram, by measuring … kbar in temperatures from
4.2K to room temperature. From … of the response of the Curie temperature T c of FeZP single …",16
"Analysis of the relation between bottom hole temperature data and Curie temperature depth to calculate geothermal gradient and heat flow in Coahuila, Mexico",https://www.sciencedirect.com/science/article/pii/S0040195120300809,JL Carrillo,"de la Cruz, RM Prol",Ledesma…,"… Curie temperature depth using aeromagnetic data are commonly employed to study the
thermal structure of the crust. In this research, we estimated the Curie temperature-… Temperature …",6
Relaxation process in ferroelectrics near the Curie temperature,https://academic.oup.com/ptps/article-abstract/doi/10.1143/PTPS.E68.109/1842207,"K Yoshimitsu, T Matsubara","Progress of Theoretical Physics …, 1968",academic.oup.com,"A phenomenological approach is given to the problem of the relaxation process in ferroelectrics
near the Curie temperature. It is shown that most of anomalous dielectric behaviours of …",25
Deviations from Vegard's law in the Curie temperature of mixed ferroelectric solid solutions,https://www.tandfonline.com/doi/abs/10.1080/00150190600717042,"C Aragó, CL Wang, JA Gonzalo","Ferroelectrics, 2006",Taylor & Francis,"… the Curie temperature … Curie temperature of the pure LiNbO 3 seen that a very little change
in the Li/Nb composition can result in a dramatically sharp change in the critical temperature …",18
Thermal analysis on the curie temperature of nanocrystalline Ni produced by ball milling,https://www.sciencedirect.com/science/article/pii/S0921883110001433,"AS Bolokang, MJ Phasha","Advanced Powder Technology, 2011",Elsevier,"… shifting of magnetic transition temperature peak to lower values … temperature the ferromagnetic
suppression induced by mechanical milling is lost, hence the normal Curie temperature …",19
TGS crystal growth below and above Curie temperature (Tc),https://www.sciencedirect.com/science/article/pii/S002202482030316X,"MS Pandian, S Verma, P Karuppasamy…","Journal of Crystal …, 2020",Elsevier,"… growth method below and above its Curie temperature (T c ). … c-axis were measured in both
the temperature regimes. It was found … grown below and above its Curie temperature (T c ) by …",3
High-throughput discovery of high Curie point two-dimensional ferromagnetic materials,https://www.nature.com/articles/s41524-020-0300-2,"A Kabiraj, M Kumar, S Mahapatra","npj Computational Materials, 2020",nature.com,"… the vital information of Curie temperature since its calculation … to estimate the Curie temperature
from the crystal structure. … to discover 26 materials with a Curie point beyond 400 K. For …",58
"Specific heat and curie temperature evaluation on triangular lattice: Exchange frequencies for3he adsorbed on grafoil, evaluated by path integral techniques",https://link.springer.com/article/10.1007/BF00694094,"B Bernu, D Ceperley, C Lhuillier","Journal of Low Temperature Physics, 1992",Springer,"We compute, using path integrals, the cyclic-exchange frequencies of a monolayer of 3 He
adsorbed on graphite in the incommensurate solid phase. Interactions between helium atoms …",41
"Structure, electrical properties of Bi (Fe, Co) O3–BaTiO3 piezoelectric ceramics with improved Curie temperature",https://www.sciencedirect.com/science/article/pii/S0921452612009751,"C Zhou, Z Cen, H Yang, Q Zhou, W Li, C Yuan…","Physica B: Condensed …, 2013",Elsevier,"… 0–0.012) high-temperature lead-free ceramics were prepared … properties and their Curie
temperatures were investigated. … The BFC–BTx ceramics exhibit improved Curie temperature …",24
Pressure Effects on the Curie Temperature of (Co1− xMnx) 2P,https://www.jstage.jst.go.jp/article/jpsj1946/52/1/52_1_246/_article/-char/ja/,"N Nakagiri, Y Yamamoto, M Nomura, H Fujii…","Journal of the Physical …, 1983",jstage.jst.go.jp,"… x=0.06, and both the ferromagnetic Curie temperature T, and the paramagnetic Curie
temperature 6, … In this work, therefore, the pressure dependence of the Curie temperature was …",12
Superparamagnetic nanocrystalline ZnFe2O4 with a very high curie temperature,https://www.ingentaconnect.com/contentone/asp/jnn/2008/00000008/00000008/art00023,"S Deka, PA Joy","Journal of nanoscience and nanotechnology, 2008",ingentaconnect.com,"… Similarly, mechanical milling of normal or low-temperature synthesized zinc ferrite is also
used to … Here we report the observation of very high Curie temperature, for the first time, for the …",24
Dielectric properties and relaxor behavior of high Curie temperature (Ba0. 85Ca0. 15)(Zr0. 1Ti0. 9) O3–Bi (Mg0. 5Ti0. 5) O3 lead-free ceramics,https://www.sciencedirect.com/science/article/pii/S0272884212009790,"W Bai, J Hao, B Shen, J Zhai","Ceramics International, 2013",Elsevier,"… With increasing BMT content, the Curie temperature was first increased and then
decreased, … wide temperature range, indicating that the system possess potential for high-temperature …",25
"Nanopolar structures and local ferroelectricity of
relaxor crystal across Curie temperature by piezoresponse force microscopy",https://aip.scitation.org/doi/abs/10.1063/1.3273481,"XY Liu, YM Liu, S Takekawa, K Kitamura…","Journal of Applied …, 2009",aip.scitation.org,"… stable than ours and remain beyond Curie temperature with the assistance of internal field.
… until the Curie temperature is reached and vanish right above Curie temperature. Interestingly…",25
Correlation between Curie temperature and system dimension,https://www.sciencedirect.com/science/article/pii/S1386947709003154,"H Mayama, T Naito",Physica E: Low,"dimensional Systems and …, 2009","Curie temperature T C of spin arrangement with arbitrary dimension was considered. We
assumed that interaction of a spin with all other spins vary with a power-law decay rate in …",7
Tuning the Curie temperature and thermal hysteresis of giant magnetocaloric (MnFe) 2PX (X= Ge and Si) compounds by the Ru substitution,https://iopscience.iop.org/article/10.7567/JJAP.53.063001/meta,"H Wada, K Nakamura, K Katagiri…","Japanese Journal of …, 2014",iopscience.iop.org,"… where T 0 is the midpoint temperature and δT is the temperature interval of integration. T 0 …
as a function of their Curie temperature. The plots indicate that the Curie temperatures can be …",23
Significant improvement in Curie temperature and piezoelectric properties of BaTiO3 with minimum Pb addition,https://www.tandfonline.com/doi/abs/10.1080/21870764.2019.1656359,"S Butee, KR Kambale, A Ghorpade…","Journal of Asian …, 2019",Taylor & Francis,"… A substantial increase in the Curie temperature from 120C for x = 0C to 180C for x = 0.15
samples was noted. PE loop analysis revealed an increase in the saturation polarization by …",10
Curie temperature of a ferroelectric superlattice described by the transverse Ising model,https://www.sciencedirect.com/science/article/abs/pii/S0038109896006291,"JH Zhou, CZ Yang","Solid state communications, 1997",Elsevier,"… Without loss of generality, we assume the Curie temperature of slab B … Curie temperature
on the interface coupling strength JAB, shown in Fig. 2, where JB is the bulk Curie temperature …",31
Amorphous magnetic semiconductors with Curie temperatures above room temperature,https://iopscience.iop.org/article/10.1088/1674-4926/40/8/081510/meta,"N Chen, K Fang, H Zhang, Y Zhang, W Liu…","Journal of …, 2019",iopscience.iop.org,"… Curie-temperature amorphous ferromagnets, these amorphous magnetic semiconductors
show Curie temperatures well above room temperature. … ~2.4 eV, room-temperature saturation …",5
The suppression of Curie temperature by Sr doping in diluted ferromagnetic semiconductor (La1− xSrx)(Zn1− yMny) AsO,https://iopscience.iop.org/article/10.1209/0295-5075/107/17004/meta,"C Ding, X Gong, H Man, G Zhi, S Guo…","EPL (Europhysics …, 2014",iopscience.iop.org,"… We define the Curie temperature of ferromagnetic ordering, T C , as the temperature where
the magnetization curve measured at 0.005 T displays a sharp enhancement, as marked by …",21
The evidence of structural relaxation as the origin of Curie temperature aging in metallic glass,https://aip.scitation.org/doi/abs/10.1063/1.325439,HS Chen,"Journal of Applied Physics, 1978",aip.scitation.org,"… through a study of the kinetics of Curie temperature aging and enthalpy recovery near Tg
of a melt sptn glass (FeuNio.5h5PISBsAI3' The Curie temperature Te of the FeNi glass was de…",48
A simple model for the size and shape dependent Curie temperature of freestanding Ni and Fe nanoparticles based on the average coordination number and atomic …,https://www.sciencedirect.com/science/article/pii/S0301010411000863,"HM Hosseini, A Simchi","Chemical Physics, 2011",Elsevier,"… their Curie temperature. The aim of the present work is to use the average coordination number
to predict the Curie temperature … enables to predict the Curie temperature of freestanding …",20
Rock salt structure GdO epitaxial thin film with a high ferromagnetic Curie temperature,https://aip.scitation.org/doi/abs/10.1063/5.0017954,"T Yamamoto, K Kaminaga, D Saito, D Oka…","Applied Physics …, 2020",aip.scitation.org,"… The ferromagnetic Curie temperature (T C ) was as high as 276 K, … temperature (T N ) of
Nd and Gd phosphides/arsenides/antimonides is connected with the higher Curie temperature …",6
Effect of pressure on the Curie temperature of GdAl2 and TbAl2,https://www.sciencedirect.com/science/article/pii/0375960174903417,S Jaakkola,"Physics Letters A, 1974",Elsevier,"Effect of pressure on the Curie temperature of GdAl2 and TbAl2 - ScienceDirect … Effect of
pressure on the Curie temperature of GdAl 2 and TbAl 2 … The Curie temperature of GdAl 2 …",10
Estimation of Curie temperature of manganite-based materials for magnetic refrigeration application using hybrid gravitational based support vector regression,https://aip.scitation.org/doi/abs/10.1063/1.4966043,"TO Owolabi, KO Akande, SO Olatunji, A Alqahtani…","AIP …, 2016",aip.scitation.org,"… temperature known as Curie temperature (T C ). Consequently, manganite-based material
with T C around room temperature is … with T C around room temperature and to circumvent …",17
Effects of nonstoichiometry and doping on the Curie temperature and defect structure of lithium niobate,https://link.springer.com/article/10.1007/BF02758054,"MN Palatnikov, NV Sidorov, VI Skiba, DV Makarov…","Inorganic Materials, 2000",Springer,"… The structural parameters, Curie temperature, and density of the … The results suggest that
the variation of the Curie temperature … In Table 1, we also present the Curie temperatures of …",20
The Curie Temperatures of Magnetically Dilute Ferromagnetics,https://www.jstage.jst.go.jp/article/jpsj1946/45/5/45_5_1498/_article/-char/ja/,"T Idogaki, N Uryû","Journal of the Physical Society of Japan, 1978",jstage.jst.go.jp,"… In the present article, the initial gradient Ig for the curve of the Curie temperature (Mp) of
the magnetically dilute system has been calculated with the use of the method of concentration …",30
The effect of pressure on the Curie temperature in Fe–Ni Invar mechanical alloys,https://iopscience.iop.org/article/10.1088/0953-8984/14/44/429/meta,"S Wei, R Duraj, R Zach, M Matsushita…","Journal of Physics …, 2002",iopscience.iop.org,"… annealing temperature was established [8] by comparing observed Curie temperatures for
… Curie temperature versus Ni concentration curve for bulk materials by a Gaussian function. …",20
The variation of Curie temperature and dielectric relaxor behaviour in the nominal (1-x) BaTiO3-xBiAlO3 system,https://link.springer.com/article/10.1007/s10832-012-9689-4,"YD Hou, L Cui, MJ Si, HY Ge, MK Zhu, H Yan","Journal of electroceramics, 2012",Springer,"… 0) and T c (1) are the Curie temperature of two end members. … Curie temperature from
Vegard’s law in the reported BiAlO 3 based system [7–10]. It is believed that the Curie temperature …",18
Strong ferromagnets: Curie temperature and density of states,https://iopscience.iop.org/article/10.1088/0953-8984/6/17/014/meta,"Q Qi, R Skomski, JMD Coey","Journal of Physics: Condensed …, 1994",iopscience.iop.org,"… of Curie temperature trends in metallic ferromagnets [ 1,2]. Even the Curie temperatures of
… the single-band Hubbard model have yielded a Curie temperature Tc - 2400 K and a local …",24
Noninvasive temperature measurement method for hyperthermia treatment using ferromagnetic implant with low curie temperature,https://ieeexplore.ieee.org/abstract/document/4650182/,"K Mitobe, N Yoshimura","… Conference of the IEEE Engineering in …, 2008",ieeexplore.ieee.org,"… FILCT as a probe for temperature. A non-invasive temperature measurement system was …
distinguish whether the temperature of FILCT has reached the Curie temperature or not. As …",16
The pressure effect on the Curie temperature of the collective-electron ferromagnet: The origin of the invar effects,https://www.sciencedirect.com/science/article/abs/pii/0038109869908746,M Shiga,"Solid State Communications, 1969",Elsevier,"… The pressure effect on the Curie temperature of the invar alloy is calculated by the molecular
… temperature of magnetic metals has been per unit volume above the Curie temperature is …",47
Tailoring Curie temperature and magnetic anisotropy in ultrathin Pt/Co/Pt films,https://aip.scitation.org/doi/abs/10.1063/1.4944343,"VM Parakkat, KR Ganesh, PS Anil Kumar","AIP Advances, 2016",aip.scitation.org,"The dependence of perpendicular magnetization and Curie temperature (Tc) of Pt/Co/Pt
thin films on the thicknesses of Pt seed (Pts) and presence of Ta buffer layer has been …",18
Curie temperatures of Am-1Bi2MmO3m+3 layered ferroelectrics,https://inis.iaea.org/search/search.aspx?orig_q=RN:29054564,VA Isupov,"Neorganicheskie Materialy, 1997",inis.iaea.org,"[en] The data on the Curie temperatures of the perovskite-like layered ferroelectrics of the A
m-1 Bi 2 M m O 3m+ 3-type are considered. The absence of general dependence TC on the …",26
Reversible step rearrangement and segregation on nickel surfaces at the Curie temperature,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.26.3766,"T Jach, JC Hamilton","Physical Review B, 1982",APS,"… over a temperature range of 35 K at the nickel Curie temperature, as … C to the surface below
the Curie temperature. Measured carbon coverages … eV per carbon atom at the Curie point. …",26
Irreversible structure change of the as prepared FeMnP1− xSix-structure on the initial cooling through the curie temperature,https://www.sciencedirect.com/science/article/pii/S0304885314007987,"V Höglin, J Cedervall, MS Andersson, T Sarkar…","Journal of Magnetism …, 2015",Elsevier,"… of the as prepared FeMnP 1−x Si x -structure on the initial cooling through the curie temperature
… FeMnP 1−x Si x exhibits a first order phase transition at the Curie temperature (T c ). …",13
"Temperature Dependence of the
hfs in the Ordered Alloys Fe
and FePd near the Curie Temperature",https://journals.aps.org/pr/abstract/10.1103/PhysRev.172.572,G Longworth,"Physical Review, 1968",APS,"… has been measured, using the Mossbauer eGect near the Curie temperature … temperature,
0.37+0.mm/sec, were in good agreement with those obtained above the Curie temperatures, …",81
Composition dependence of Curie temperature and microstructure in amorphous Fe–Co–Mo–Cu–B metallic glasses,https://www.sciencedirect.com/science/article/pii/S0304885306005403,"CF Conde, A Conde, D Janičkovič, P Švec","Journal of Magnetism and …, 2006",Elsevier,"… , the Curie temperature of this amorphous phase is an important parameter in the temperature
dependence of the magnetic behaviour of the alloy: above that Curie temperature the …",23
The Curie temperature dependence on preparation conditions for Gd thin films,https://www.sciencedirect.com/science/article/pii/S0040609003020200,"Y Yamada, M Okada, P Jin, M Tazawa, K Yoshimura","Thin Solid Films, 2004",Elsevier,"… Curie temperature (T C ) for Gd, we have prepared Gd thin films by controlling deposition
conditions. With raising substrate temperature (T … expanded above this temperature. The former …",12
Effect of hydrostatic pressure on Curie temperature in amorphous (Fe1−xNix)90Zr10 alloys,https://aip.scitation.org/doi/abs/10.1063/1.329635,"K Shirakawa, T Kaneko, M Nose…","Journal of Applied …, 1981",aip.scitation.org,"… , that the magnetic moment and Curie temperature are strongly dependent on pressure. So
far… In the present paper, measurements of the pressure effect on the Curie temperature for Fe-…",30
Influence of Impurities on the Curie Temperature of Ferroelectric Crystals,https://journals.aps.org/pr/abstract/10.1103/PhysRev.143.344,"V Dvořák, P Glogar","Physical Review, 1966",APS,"… that with BaTioa the Curie temperature can be decreased by … Thus, to explain a change in
the Curie temperature caused by … governing the change in Curie temperature and we shall …",29
Half-metallicity and Curie temperature enhancement of CrI3 through boron atoms adsorption,https://www.sciencedirect.com/science/article/pii/S0749603621002524,"S Wu, A Li, Y Wang, F Ouyang","Superlattices and Microstructures, 2021",Elsevier,"… adsorption also increases the Curie temperature of CrI 3 and … the system and its Curie
temperature can be increased from … and Curie temperature higher than room temperature can be …",3
Curie temperatures and modified de Gennes factors of rare earth nitrides,https://www.sciencedirect.com/science/article/pii/S0038109811003735,"Y Hirayama, T Nakagawa, TA Yamamoto","Solid state communications, 2011",Elsevier,"… a temperature close to the T C . We found that these nitrides are ferromagnets with Curie
temperatures below liquid nitrogen temperature… temperature to its liquefaction temperature (77–…",16
Increasing the Curie temperature of Ca2FeMoO6 double perovskite by introducing near-neighbour antiferromagnetic interactions,https://iopscience.iop.org/article/10.1088/0953-8984/17/50/021/meta,"D Rubi, C Frontera, A Roig, J Nogués…","Journal of Physics …, 2005",iopscience.iop.org,"We report on the magnetic, magnetotransport and structural characterization of (Ca 1− y Nd
y) 2 Fe 1+ x Mo 1− x O 6 (x< 0.5) ferromagnetic double perovskites. It is found that the …",23
Super-high Curie temperature ferroelectrics and superior TC tunability: lattice instability and ferroelectric phase transitions,https://www.tandfonline.com/doi/abs/10.1080/00150193.2020.1791657,S Kojima,"Ferroelectrics, 2020",Taylor & Francis,"… For the experimental search of high-temperature … Curie temperature. It was found that 0.2
Bi(Fe 0.12 Co 0.88 ) O 3 –0.8PbTiO 3 showed the highest measured Curie temperature of 625 …",5
Spin Transport and Spin Thermoelectric Transport in 2D Mn-Doped Blue Phosphorene with High Curie Temperature and Half-Metallicity,https://pubs.acs.org/doi/abs/10.1021/acs.jpcc.0c11254,"X Wu, L Hu, D Gu, G Gao","The Journal of Physical Chemistry C, 2021",ACS Publications,"… C v with temperature shown in Figure 1, we also indeed obtain the Curie temperature of 310
K… the ferromagnetic Curie temperature of Mn-doped monolayer Blue-P will exceed the room …",4
Enhancement of Curie temperature and reorientation of spin in doped Cr2Si2Te6,https://aip.scitation.org/doi/abs/10.1063/5.0055983,"X Liu, ZY Wang, DY Liu, LJ Zou","AIP Advances, 2021",aip.scitation.org,"… how to increase the Curie temperature of Cr 2 Si 2 Te 6 for its potential extensive application.
… III and IV, we display the evolution of the Curie temperature and magnetic anisotropy upon …",1
"Double Hysteresis Loop of BaTi
at the Curie Point",https://journals.aps.org/pr/abstract/10.1103/PhysRev.91.513,WJ Merz,"Physical Review, 1953",APS,"… temperatures when a dc bias 6eld is applied. If the crystal shows a sharp transition, we expect
by applying an ac field at the Curie temperature … If we plot the Curie temperature versus …",741
Paramagnetic Curie Temperatures of the Rare-Earth Monophosphides,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.2.1429,PM Levy,"Physical Review B, 1970",APS,"… wefound that for a crystal field of the size that exists in cerium monophosphide CeP the
paramagnetic Curie temperature e& is of the sameorder of magnitude as the 8& owing to …",25
Enhancement of Curie temperature and room-temperature magnetoresistance in double perovskite (Sr1. 6Ba0. 4) FeMoO6,https://www.sciencedirect.com/science/article/pii/S0038109803009906,"XM Feng, GH Rao, GY Liu, WF Liu, ZW Ouyang…","Solid state …, 2004",Elsevier,"… ) at room temperature and high Curie temperature (T C ≈400 K ) in the compound Sr 2
FeMoO 6 [1]. Large low-field magnetoresistance and high Curie temperature are required for the …",18
One-dimensional spectral analysis of aeromagnetic anomalies and Curie depth isotherm in the Anambra Basin of Nigeria,https://www.sciencedirect.com/science/article/pii/S0264370796000282,AG Onwuemesi,"Journal of Geodynamics, 1997",Elsevier,"… variations and the Curie temperature isotherm. … Curie temperature isotherm varies between
16 and 30 km below the mean sea level. The result also shows that the Curie temperature …",88
Effect of hydrostatic pressure on the Curie temperature of the Heusler alloys Co2TiAl and Co2TiGa,https://jphyscol.journaldephysique.org/articles/jphyscol/abs/1988/08/jphyscol198849C858/jphyscol198849C858.html,"T Kanomata, K Shirakawa…","Le Journal de …, 1988",jphyscol.journaldephysique.org,"… On the other hand, the Curie temperature of CozTiGa … the Curie temperature obeys the
Curie-Weiss law with 0, = 137 K [5], and the effective magnetic moment estimated from the Curie …",18
"Pressure dependence of the Curie temperature of intermetallic compounds R2Fe14B (R= Y, Ce, and Nd)",https://www.sciencedirect.com/science/article/abs/pii/0304885387904604,"H Nagata, S Hirosawa, M Sagawa, A Ishibashi…","Journal of magnetism …, 1987",Elsevier,"Stronge negative pressure dependence of the Curie temperature (T c ) is observed in R 2 Fe
14 B compounds. The values of dT c /dP are pressure dependent in the range of between - …",20
"Effect of pressure on the Curie temperature of PdFe, PdCo, PtFe and PtCo alloys",https://www.sciencedirect.com/science/article/abs/pii/0038109874911259,"JS Meier, CW Christoe, G Wortmann…","Solid State …, 1974",Elsevier,"… Volume coefficients ofthe Curie temperatures resonance has been previously described.12 …
coefficients of the Curie temperatures for Pt alloys plotted versus the Curie temperatures of …",20
Stress‐induced Curie temperature increase in the Fe64Ni36 invar alloy,https://onlinelibrary.wiley.com/doi/abs/10.1002/pssr.200903056,"P Gorria, R Boada…","physica status solidi …, 2009",Wiley Online Library,"… being the increase of the Curie temperature (ΔT C = 70 K). (… of this material at room
temperature) has been the focus of … strong pressure dependences of the Curie temperature, T C , …",22
"Compositional segregation, structural transformation and property-temperature relationship of high-Curie temperature Pb (In1/2Nb1/2) O3–Pb (Mg1/3Nb2/3) O3 …",https://link.springer.com/article/10.1007/s10854-015-3023-2,"J Chen, X Li, X Zhao, X Wang, C Chen, H Deng…","Journal of Materials …, 2015",Springer,"… crystals were investigated as a function of temperature and composition, and the phase …
high Curie temperatures (T C = 160–210 C), ferroelectric phase transition temperatures (T R…",18
Magnetic properties and pressure effect on the curie temperature of Fe-Nd and Fe-Nd-B amorphous alloys,https://www.sciencedirect.com/science/article/abs/pii/0304885386905640,"K Fukamichi, K Shirakawa, Y Satoh, T Masumoto…","Journal of magnetism …, 1986",Elsevier,"… dependence curve of the Curie temperature exhibits a broad maximum around 30% Nd.
The remarkable pressure effect on the Curie temperature was observed. These magnetic …",29
"Temperature dependence of phonons in
through the Curie temperature",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.98.024301,"FC Yang, O Hellman, MS Lucas, HL Smith…","Physical Review B, 2018",APS,"… is included in the finite-temperature calculations of vibrational … L12 structure and a Curie
temperature of approximately 500 … at temperatures through the Curie temperature using nuclear …",14
Significant increase of Curie temperature and large piezoelectric coefficient in Ba(Ti0.80Zr0.20)O3-0.5(Ba0.70Ca0.30)TiO3 nanofibers,https://aip.scitation.org/doi/abs/10.1063/1.4927597,"B Fu, Y Yang, K Gao, Y Wang","Applied Physics Letters, 2015",aip.scitation.org,"… , its Curie temperature T C is relatively low (93 C) limiting its application. In this letter, we
found a temperature … of providing electromechanical behavior used in moderate temperatures. …",18
Critical slowing down of relaxation dynamics near the Curie temperature in the relaxor,https://aip.scitation.org/doi/abs/10.1063/1.3115765,"M Ahart, A Hushur, Y Bing, ZG Ye, RJ Hemley…","Applied physics …, 2009",aip.scitation.org,"… Curie temperature T c arises from coupling of the strain and order parameter in a free-energy
expansion. The coupling occurs because the acoustic wave changes the magnitude of ion …",30
"Dielectric Properties of a New Ferroelectric, NaNH4SO4· 2H2O, near Its Curie Temperature",https://www.jstage.jst.go.jp/article/jpsj1946/20/6/20_6_954/_article/-char/ja/,"Y Makita, T Sekido","Journal of the Physical Society of Japan, 1965",jstage.jst.go.jp,"… room temperature through the Curie temperature, the pyroelectric charge appears suddenly
at the Curie temperature, … In the temperature range between 92K and the Curie temperature, …",35
Initial oxidation kinetics near the Curie temperature of nickel,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.18.486,"BC Sales, MB Maple, FL Vernon III","Physical Review B, 1978",APS,"… We have studied the oxidation of nickel in the vicinity of its Curie temperature (co= 631 K) by
means of a gravimetric technique. The purpose of the experiment was to determinethe effect …",24
Effect of a Magnetic Field on Susceptibility of a Two-Dimensional Ferromagnet K2CuF4 Near the Curie Temperature,https://journals.jps.jp/doi/abs/10.1143/JPSJ.50.1133,"M Suzuki, H Ikeda","Journal of the Physical Society of Japan, 1981",journals.jps.jp,"… This magnetic ﬁeld, even if it were weak, has an important effect on the static critical phenomenon
near the Curie temperature Tc. The effect of the magnetic ﬁeld on the magnetization M, …",33
"Cation distribution in the Bi4− xRExTi3O12 (RE= La, Nd) solid solution and Curie temperature dependence",https://www.sciencedirect.com/science/article/pii/S1044580308002477,J Arreguin,"Zavala, ME Villafuerte",Castrejón…,"… to paraelectric phase transition at the Curie temperature (T c … The room-temperature diffraction
data can be accounted for … high Curie temperature (T c ) which makes it useful over a wide …",17
Relations between curie temperature and chemical bond in octahedral monodimensional ferroelectrics,https://www.tandfonline.com/doi/abs/10.1080/01411599108207711,J Ravez,"Phase Transitions: A Multinational Journal, 1991",Taylor & Francis,"… The Curie temperature is related to the chemical bond of … and there is a relation between the
Curie temperature T, and Az: T… article is to correlate Curie temperatures and chemical bonds …",26
Inhibition of Hsp90 and 70 sensitizes melanoma cells to hyperthermia using ferromagnetic particles with a low Curie temperature,https://link.springer.com/article/10.1007/s10147-013-0606-x,"T Miyagawa, H Saito, Y Minamiya, K Mitobe…","International journal of …, 2014",Springer,"… using thermosensitive ferromagnetic particles (FMPs) with a Curie temperature (T c ) of 43
C to mediate automatic temperature control, and demonstrated its antitumor effect in a mouse …",43
"Variation in particle morphology and Curie temperature of fine
ceramic powders",https://journals.aps.org/prb/abstract/10.1103/PhysRevB.44.6825,"S Ram, JC Joubert","Physical Review B, 1991",APS,"Ceramic powders of SrZn 2 Fe 16 O 27 ferrite exhibit characteristically sharp Curie transition
temperatures (TC) in thermomagnetograms, particularly those measured in low magnetic …",27
Jahn–Teller energy dependence of Curie temperature in La1− x (Ca/Sr) xMnO3,https://iopscience.iop.org/article/10.1088/0953-8984/18/34/001/meta,"FL Tang, X Zhang","Journal of Physics: Condensed Matter, 2006",iopscience.iop.org,"Atomistic simulation has been performed on La 1− x (Ca/Sr) x MnO 3 to investigate the change
of Jahn–Teller energy E JT and its quantitative dependence of the Curie temperature T C. …",20
Enhanced Curie temperature and superior temperature stability by site selected doping in BCZT based lead-free ceramics,https://www.sciencedirect.com/science/article/pii/S0272884222002772,"S Kumari, A Kumar, A Kumar, V Kumar, VN Thakur…","Ceramics …, 2022",Elsevier,"… dielectric behavior with high Curie temperature (T C ∼159 C)… 1500 C, at the cost of lowering
of the Curie temperature (T C … ceramics at a high sintering temperature (1500 C) having T C …",5
The Paramagnetic Curie Temperature of the Alloys Gd(Al1-xCux)2 and Gd(Al1-xNix)2,https://journals.jps.jp/doi/abs/10.1143/JPSJ.35.452,"M Hidaka, M Sakai, H Hosokawa…","Journal of the Physical …, 1973",journals.jps.jp,"The paramagnetic Curie temperature θ p is measured for the alloys Gd(Al 1- x Cu x ) 2 and
Gd(Al 1- x Ni x ) 2 . The values of θ p plotted versus the number of conduction electrons n 0 …",29
Evidence for domain formation near the Curie temperature in ultrathin Ni/Cu (001) filmswith perpendicular anisotropy,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.55.R11961,"P Poulopoulos, M Farle, U Bovensiepen, K Baberschke","Physical Review B, 1997",APS,"… -optic Kerr effect near the Curie temperature TC . The films … the temperature Tr at which Mr
and the temperature TH at … ML)1–3 and increasing temperature.Fourthorder anisotropy4 terms …",36
Forced magnetostriction of ferromagnetic Heusler alloy Ni2MnGa at the Curie temperature,https://aip.scitation.org/doi/abs/10.1063/1.5036558,"T Sakon, Y Hayashi, N Fujimoto…","Journal of Applied …, 2018",aip.scitation.org,"… field dependence of the magnetization at the Curie temperature T C . The spin fluctuation
theory … can be observed due to itinerant spin fluctuations around the critical temperature. 6. Y. …",12
Nanoscale inhomogeneities: A new path toward high Curie temperature ferromagnetism in diluted materials,https://journals.aps.org/prb/abstract/10.1103/PhysRevB.85.014201,"A Chakraborty, R Bouzerar, S Kettemann, G Bouzerar","Physical Review B, 2012",APS,"… been made to predict high Curie temperatures (TC) in these … Then how can we explain the
very high Curie temperatures … fluctuations of the critical temperatures in these materials? Is …",21
Curie temperatures and dielectric properties of doped and undoped KTiOPO/sub 4/and isomorphs,https://ieeexplore.ieee.org/abstract/document/248228/,"DKT Chu, H Hsiung, LK Cheng…","IEEE transactions on …, 1993",ieeexplore.ieee.org,"… The Curie-Weiss law is obeyed in all samples. With the exception of CsTiOAsO4, all … the
temperature range of 500 ""C400 ""C. For the barium doped KTP, we found the Curie temperature …",25
The Curie temperature and magnetic exchange energy in half-metallic greigite Fe3S4,https://iopscience.iop.org/article/10.1088/0031-8949/83/04/045702/meta,"J Wang, SH Cao, W Wu, G Zhao","Physica Scripta, 2011",iopscience.iop.org,"… More recent magnetic measurements on high-quality pure greigite samples [12] have
suggested a Curie temperature of >630 K. Therefore, the reported Curie temperature of greigite …",19
